"Timestamp","Consentimento para participação","1. Há quanto tempo você exerce ou exerceu funções de assessoria em gabinete no TRT9?","2. Antes de assumir a função, você já havia trabalhado em atividade semelhante?","3. Antes de iniciar, qual era o seu nível geral de conhecimento sobre as funções que exerceria?","4. Quais atividades da função você já conhecia antes de começar?","5. Como você adquiriu o conhecimento que já possuía ANTES de assumir a função?","6. AO INICIAR NA ASSESSORIA, você recebeu uma apresentação ou orientação estruturada sobre suas atribuições?","7. Nos PRIMEIROS TRÊS MESES de atuação, quais foram as principais formas pelas quais você aprendeu a exercer suas funções?","8. Qual dessas formas de aprendizagem foi a MAIS IMPORTANTE para sua adaptação?","9. Quanto tempo você levou para se sentir capaz de exercer as principais atividades com razoável autonomia?","10. Quais tipos de orientação, treinamento ou recurso teriam tornado o início da sua atuação mais seguro e eficiente?"
"2026/07/31 4:39:08 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","De 4 a 6 anos","Não","3","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Gestão de processos e prazos;Organização do fluxo do gabinete;Rotinas administrativas;Comunicação com magistrados e equipe","Formação acadêmica;Cursos ou capacitações;Estudo por iniciativa própria;Orientação informal de colegas","Sim, mas apenas parcialmente sobre algumas atividades","Orientação de colegas da mesma assessoria;Orientação do(a) magistrado(a);Consulta a modelos internos de ações anteriores;Participação em cursos ou treinamentos;Observação da rotina de trabalho;Prática, tentativa e erro;Estudo individual","Orientação de colegas da mesma assessoria","De 4 a 6 meses","Estudo individual orientado"
"2026/07/31 4:41:25 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","De 4 a 6 anos","Não","3","Elaboração de minutas;Pesquisa jurídica;Comunicação com magistrados e equipe","Experiência anterior no Poder Judiciário","Sim, mas apenas parcialmente sobre algumas atividades","Orientação do(a) assessor(a) que estava deixando a função;Orientação do(a) magistrado(a);Participação em cursos ou treinamentos;Observação da rotina de trabalho;Prática, tentativa e erro","Orientação do(a) assessor(a) que estava deixando a função","De 4 a 6 meses","Treinamento interno antes do início da atuação"
"2026/07/31 4:44:14 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","Mais de 10 anos","Não","1","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Gestão de processos e prazos","Experiência anterior no Poder Judiciário;Experiência profissional fora do Poder Judiciário;Estudo por iniciativa própria","Não","Observação da rotina de trabalho;Prática, tentativa e erro;Estudo individual","Prática, tentativa e erro","De 1 a 3 meses","Manual ou lista de procedimentos e modelos internos"
"2026/07/31 4:45:32 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","De 4 a 6 anos","Sim, no próprio TRT9","5","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Gestão de processos e prazos;Organização do fluxo do gabinete;Rotinas administrativas;Comunicação com magistrados e equipe","Experiência anterior no Poder Judiciário;Estudo por iniciativa própria;Orientação informal de colegas","Sim, mas apenas parcialmente sobre algumas atividades","Orientação de colegas da mesma assessoria;Observação da rotina de trabalho;Prática, tentativa e erro","Orientação do(a) assessor(a) que estava deixando a função","De 4 a 6 meses","Treinamento interno antes do início da atuação;Treinamento durante o primeiro mês de atuação"
"2026/07/31 4:50:03 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","Mais de 10 anos","Sim, no próprio TRT9","4","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Gestão de processos e prazos;Organização do fluxo do gabinete;Rotinas administrativas;Comunicação com magistrados e equipe","Experiência anterior no Poder Judiciário;Formação acadêmica","Não","Já atuava como assessora assistente por cerca de 18 meses antes de assumir como assessora principal","Observação da rotina de trabalho","Imediatamente","Considero que tive um início tranquilo por já ser assistente do assessor principal por muito tempo"
"2026/07/31 4:59:02 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","De 7 a 10 anos","Sim, no próprio TRT9","3","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Comunicação com magistrados e equipe","Experiência profissional fora do Poder Judiciário;Formação acadêmica;Cursos ou capacitações;Estudo por iniciativa própria;Orientação informal de colegas","Não me recordo","Orientação do(a) magistrado(a);Participação em cursos ou treinamentos;Observação da rotina de trabalho;Estudo individual","Orientação do(a) magistrado(a)","De 1 a 3 meses","Treinamento oferecido pela Escola Judicial;Manual ou lista de procedimentos e modelos internos"
"2026/07/31 5:08:48 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","De 1 a 3 anos","Não","3","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais","Experiência anterior no Poder Judiciário;Formação acadêmica;Cursos ou capacitações;Orientação informal de colegas","Sim, mas apenas parcialmente sobre algumas atividades","Orientação de colegas da mesma assessoria;Orientação do(a) assessor(a) que estava deixando a função;Observação da rotina de trabalho;Prática, tentativa e erro","Orientação de colegas da mesma assessoria","De 7 a 12 meses","Treinamento oferecido pela Escola Judicial;Treinamento interno antes do início da atuação;Treinamento durante o primeiro mês de atuação;Manual ou lista de procedimentos e modelos internos"
"2026/07/31 5:41:56 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","Mais de 10 anos","Sim, no próprio TRT9","4","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Organização do fluxo do gabinete","Experiência anterior no Poder Judiciário;Orientação informal de colegas","Não","Consulta a modelos internos de ações anteriores;Observação da rotina de trabalho;Prática, tentativa e erro","Prática, tentativa e erro","De 4 a 6 meses","Treinamento interno antes do início da atuação"
"2026/07/31 5:42:50 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","De 4 a 6 anos","Sim, em outro órgão do Poder Judiciário","3","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Gestão de processos e prazos;Comunicação com magistrados e equipe","Experiência profissional fora do Poder Judiciário;Orientação informal de colegas;Por já trabalhar como assistente no gabinete","Sim, mas apenas parcialmente sobre algumas atividades","Orientação de colegas da mesma assessoria;Orientação do(a) assessor(a) que estava deixando a função;Orientação do(a) magistrado(a);Observação da rotina de trabalho;Estudo individual","Orientação de colegas da mesma assessoria","De 4 a 6 meses","Treinamento interno antes do início da atuação"
"2026/07/31 5:53:55 PM GMT-3","Li as informações acima e concordo voluntariamente em participar.","Mais de 10 anos","Não","2","Elaboração de minutas;Pesquisa jurídica;Uso dos sistemas processuais;Comunicação com magistrados e equipe","Formação acadêmica;Cursos ou capacitações;Estudo por iniciativa própria;Orientação informal de colegas","Não","Orientação do(a) assessor(a) que estava deixando a função;Consulta a manuais ou procedimentos escritos da unidade;Consulta a modelos internos de ações anteriores;Participação em cursos ou treinamentos;Observação da rotina de trabalho;Prática, tentativa e erro;Estudo individual","Orientação do(a) assessor(a) que estava deixando a função","Mais de 1 ano","Treinamento oferecido pela Escola Judicial;Manual ou lista de procedimentos e modelos internos"
